Point,Corner,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,Pass/Fail,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value,PSRR_DC
165,nom,8,13,22,115,83,864,411,122,61,fail,61.95,15.46e-9,16.55e-9,23.9e-6,70.7,50.4e6,908.2e3,50.47e6,249.4e-6,49.43,3,3,2,2,2,2,2,3,2,2,2,2,38.78e6,-50.95
174,nom,8,13,44,115,166,864,411,122,61,fail,60.63,11.76e-9,13.27e-9,21.33e-6,55.54,78.71e6,1.672e6,78.85e6,284.1e-6,48.48,2,2,2,2,2,2,2,3,2,2,2,2,82.45e6,-50.01
183,nom,8,13,88,115,331,864,411,122,61,fail,59,9.015e-9,11.14e-9,19.96e-6,40.42,121.5e6,2.989e6,122.2e6,352.4e-6,47.28,2,2,2,2,2,2,2,3,2,2,2,2,177.7e6,-48.81
192,nom,8,26,22,115,83,864,411,122,61,fail,62.97,14.09e-9,14.6e-9,19.77e-6,65.15,55.08e6,971.1e3,55.78e6,249.8e-6,50.18,3,3,2,2,2,2,2,3,2,2,2,2,39.4e6,-51.73
201,nom,8,26,44,115,166,864,411,122,61,fail,61.92,10.41e-9,11.23e-9,16.91e-6,51.95,94.57e6,1.812e6,95.35e6,284.9e-6,49.42,3,3,2,2,2,2,2,3,2,2,2,2,84.31e6,-50.98
210,nom,8,26,88,115,331,864,411,122,61,fail,60.67,7.701e-9,8.882e-9,15.09e-6,35.1,128.6e6,3.268e6,129.3e6,354.4e-6,48.48,2,2,2,2,2,2,2,3,2,2,2,2,179.9e6,-50.04
219,nom,8,52,22,115,83,864,411,122,61,fail,63.81,12.99e-9,13.23e-9,17.02e-6,64.14,62.73e6,1.031e6,62.8e6,250e-6,50.77,3,3,2,2,2,2,2,3,2,2,2,2,39.39e6,-52.34
228,nom,8,52,44,115,166,864,411,122,61,fail,62.98,9.426e-9,9.855e-9,13.99e-6,46.88,104e6,1.934e6,104.8e6,285.5e-6,50.17,3,3,2,2,2,2,2,3,2,2,2,2,84.3e6,-51.76
237,nom,8,52,88,115,331,864,411,122,61,fail,62.02,6.786e-9,7.444e-9,11.97e-6,28.58,150e6,3.537e6,151.4e6,355.9e-6,49.42,3,3,2,2,2,2,2,3,2,2,2,2,181.6e6,-51.01
7,nom,2,13,22,460,6,216,106,2,1,near,60.99,7.282e-9,11.06e-9,52.94e-6,90.62,184.6e6,4.624e6,186.7e6,3.473e-3,44.33,2,2,2,2,2,2,2,1,1,2,2,2,135e6,-42.32
16,nom,2,13,44,460,11,216,106,2,1,near,72.01,5.95e-9,10.23e-9,48.52e-6,89.65,308.2e6,7.931e6,309.7e6,3.613e-3,43.16,2,2,2,2,2,2,2,1,1,2,2,2,251.4e6,-41.95
25,nom,2,13,88,460,21,216,106,2,1,near,51.01,5.214e-9,10.14e-9,46.65e-6,84.72,504e6,13.29e6,504.7e6,3.881e-3,41.56,2,2,2,2,2,2,2,1,1,2,2,2,419e6,-40.61
34,nom,2,26,22,460,6,216,106,2,1,near,58,6.311e-9,8.865e-9,43.57e-6,89.48,225.6e6,5.217e6,228.6e6,3.475e-3,45.11,2,2,2,2,2,2,2,1,1,2,2,2,140.6e6,-42.82
43,nom,2,26,44,460,11,216,106,2,1,near,66.94,4.836e-9,7.652e-9,38.07e-6,86.55,409.2e6,9.198e6,411.7e6,3.618e-3,44.31,2,2,2,2,2,2,2,1,1,2,2,2,286e6,-42.97
52,nom,2,26,88,460,21,216,106,2,1,near,68.75,3.909e-9,7.08e-9,34.59e-6,72.75,747.5e6,15.76e6,752.1e6,3.899e-3,43.15,2,2,2,2,2,2,2,1,1,2,2,2,533.4e6,-42.3
